;name;image;appearences;description
0;Aali;https://static.wikia.nocookie.net/marveldatabase/images/5/5c/Aali_%28Earth-616%29_from_Savage_Sword_of_Conan_Vol_1_234_0001.png/revision/latest?cb=20130820132747;Savage Sword of Conan Vol 1 234;Aali was one of Conan's camp, who was captured and cooked by a couple of cannibal goblins who lived in the caves of Mount Raktavashi.[1]
1;Abbas;https://static.wikia.nocookie.net/marveldatabase/images/8/87/Abbas_%28Earth-616%29_from_Marvels_Snapshots_Civil_War_Vol_1_1_0001.jpg/revision/latest?cb=20201202225307;Marvels Snapshots: Civil War Vol 1 1;Mrs. Abbas was the mother of Yusef, a boy who developed powers and used them in the service of the Toledo community with the hero name of the Helper.[2]
2;Abbott;https://static.wikia.nocookie.net/marveldatabase/images/a/a5/Abbotts_%28Earth-616%29_from_Amazing_Spider-Man_Vol_1_10_001.png/revision/latest?cb=20200128044054;Amazing Spider-Man Vol 1 10;Mr and Mrs. Abbott were May Parker's nextdoor neighbors, who asked her to join them for a week on a trip to Florida after she came out the hospital.[3]
3;Abby;https://static.wikia.nocookie.net/marveldatabase/images/a/a4/Abby_%28Earth-616%29_from_Excalibur_Vol_1_1_001.png/revision/latest?cb=20161205224801;Excalibur Vol 1 1;Abby was Nigel Frobisher's secretary.[4]
4;Abby;https://static.wikia.nocookie.net/marveldatabase/images/1/12/Abby_%28Earth-616%29_from_Thunderbolts_Vol_1_167_0001.jpg/revision/latest?cb=20190217152929;Thunderbolts Vol 1 167;Abby was a prostitute whose body was possessed by the spirit of a Wicca belonging to the ancient Celtic tribe of the Iceni who woke up when Satana arrived in London, convinced that she was the mighty matriarch they had been waiting for and that would guide them.[5]
5;Abby;https://static.wikia.nocookie.net/marveldatabase/images/4/40/Abby_%28Earth-616%29_from_Point_One_Vol_1_1_0001.png/revision/latest?cb=20140807120803;Point One Vol 1 1;Abby was an eccentric painter who worked in large-scale abstracts, usually motion studies and post-figurative imagery.[6]
6;Abdul;https://static.wikia.nocookie.net/marveldatabase/images/a/ac/Abdul_%28Earth-616%29_from_Defenders_Vol_1_11_001.png/revision/latest?cb=20200304064354;Defenders Vol 1 11;Abdul was a Mohammedan who surprised the Defenders inside King Richard's prison.[7]
7;Abdul;https://static.wikia.nocookie.net/marveldatabase/images/2/2e/Abdul_%28Earth-616%29_from_Peter_Parker%2C_The_Spectacular_Spider-Man_Vol_1_88_0001.jpg/revision/latest?cb=20120818152135;Peter Parker, The Spectacular Spider-Man Vol 1 68;While investigating the Robot-Master, Arabian Intelligence agent Abdul ran into Spider-Man.[8]
8;Abe;https://static.wikia.nocookie.net/marveldatabase/images/4/40/Abraham_%28Earth-616%29_from_Thunderbolts_Vol_1_133_001.png/revision/latest?cb=20160425112521;Thunderbolts Vol 1 133;Abe was a homeless person from Cleveland who was protected by Songbird from H.A.M.M.E.R.[9]
9;Abib;https://static.wikia.nocookie.net/marveldatabase/images/b/b9/Abib_%28Earth-616%29_from_Conan_the_Barbarian_Vol_1_193_0001.png/revision/latest?cb=20130815214245;Conan the Barbarian Vol 1 193;Abib was a lazy soldier confronted by Kaleb the Destroyer when he came to Bhoraji to organize and prepare the army for Conan's arrival.[10]
10;Abigail;https://static.wikia.nocookie.net/marveldatabase/images/7/77/Abigail_%28Sersi%27s_Roommate%29_%28Earth-616%29_from_Eternals_Vol_3_1_0001.png/revision/latest?cb=20140505114252;Eternals Vol 3 1;"Abigail was a friend of Sersi.[11]
She was told by her about meeting Mark Curry.[12]
Abigail tried to talk with her friend about what happened at the Vorozheikan Embassy.[13]
Her memories were eventually erased by Ikaris.[14]"
